expression_file,dataset_id,columns,gene_rows
GSE272133_muscle_bariatric_axis_expression.csv,GSE272133_muscle_bariatric,56,59
GSE282850_muscle_cell_aicar_palmitate_axis_expression.csv,GSE282850_muscle_cell_aicar_palmitate,19,47
GSE292369_exercise_ketone_recovery_axis_expression.csv,GSE292369_exercise_ketone_recovery,38,59
GSE294150_visceral_adipose_axis_expression.csv,GSE294150_visceral_adipose,44,59
GSE305038_activity_inactivity_exercise_axis_expression.csv,GSE305038_activity_inactivity_exercise,29,50
GSE312393_24h_exercise_axis_expression.csv,GSE312393_24h_exercise,11,59
GSE312393_6weeks_training_axis_expression.csv,GSE312393_6weeks_training,10,59
GSE318937_exercise_oleuropein_axis_expression.csv,GSE318937_exercise_oleuropein,123,59
GSE32575_monocytes_obesity_surgery_axis_expression.csv,GSE32575_monocytes_obesity_surgery,52,59
