dataset_id,sample_id,NAMPT_z,inflammatory_score,repair_score,balance_score,immune_pan_leukocyte,macrophage_monocyte,t_cell,blood_erythroid,fibroblast_stroma,adipocyte,skeletal_muscle_fiber
GSE272133_muscle_bariatric,OB_Participant_2_w0,2.7667111019431894,1.102244585292186,0.9654053843382777,-0.13683920095390834,6.727920454563199,5.729109595173621,nan,nan,nan,5.6296444883781325,nan
GSE272133_muscle_bariatric,OB_Participant_3_w0,0.4133671048792824,0.627057241072321,1.1567930360926648,0.5297357950203438,6.0589838518585655,5.027561428615645,nan,nan,nan,4.958727057980266,nan
GSE272133_muscle_bariatric,OB_Participant_4_w0,0.03947538560490813,0.6674285774266986,0.8447848867741695,0.17735630934747093,5.686432530056294,5.3028593467763185,nan,nan,nan,5.853842208045495,nan
GSE272133_muscle_bariatric,OB_Participant_5_w0,0.7347472874287424,0.7478788667088073,0.8643543143478655,0.11647544763905815,6.027810687390854,5.0669575837920835,nan,nan,nan,4.8225351833609995,nan
GSE272133_muscle_bariatric,OB_Participant_6_w0,1.4379397480182032,0.5827396151125226,0.49757462879638753,-0.08516498631613506,6.115310466564933,5.230523084486803,nan,nan,nan,3.76640267279576,nan
GSE272133_muscle_bariatric,OB_Participant_7_w0,-0.28091541784369145,0.18769632845190343,0.09761519193132374,-0.09008113652057968,6.351086342682773,5.289938973963249,nan,nan,nan,1.7493091711478617,nan
GSE272133_muscle_bariatric,OB_Participant_8_w0,0.5813987439813206,0.16692550991223168,0.413333365846329,0.24640785593409734,4.781121212110536,4.088124646021136,nan,nan,nan,2.8629048785274214,nan
GSE272133_muscle_bariatric,OB_Participant_9_w0,0.8131459105447771,0.25871506111031456,0.8646970902646993,0.6059820291543847,4.7398901320145495,4.392876021760587,nan,nan,nan,3.974937501201927,nan
GSE272133_muscle_bariatric,OB_Participant_10_w0,0.5022306015678984,0.24870890207303073,0.3488127527856662,0.10010385071263547,5.582453463337844,4.8516031646198625,nan,nan,nan,2.788774071415272,nan
GSE272133_muscle_bariatric,OB_Participant_11_w0,0.7824894606612478,0.30789024676252236,0.7368106887642212,0.4289204420016988,4.906890595608519,4.142159548655341,nan,nan,nan,2.6552614282206957,nan
GSE272133_muscle_bariatric,OB_Participant_12_w0,0.2638306965051415,0.4688240968469178,0.6632917210064715,0.1944676241595537,5.879319818512288,5.005345170079739,nan,nan,nan,3.6690090889646565,nan
GSE272133_muscle_bariatric,OB_Participant_13_w0,0.4581900704860211,0.5882074430703477,0.849022410425512,0.2608149673551643,4.773447229943818,4.312641636944828,nan,nan,nan,4.781200712581911,nan
GSE272133_muscle_bariatric,OB_Participant_1_w52,0.40860224079307556,0.36282854958481153,0.5913626284623248,0.22853407887751326,5.265203168549533,4.774563285906623,nan,nan,nan,6.635512777378963,nan
GSE272133_muscle_bariatric,OB_Participant_2_w52,0.08054511694234762,0.11260567600724646,0.27313760014025895,0.16053192413301248,5.468318969501285,4.748362873608193,nan,nan,nan,4.936421903364848,nan
GSE272133_muscle_bariatric,OB_Participant_3_w52,0.45350918828297043,0.5309795637207015,0.9074211887267788,0.37644162500607725,6.242537281849307,5.317242380510595,nan,nan,nan,3.896957003097438,nan
GSE272133_muscle_bariatric,OB_Participant_4_w52,0.03394856021025284,0.13580178366149775,0.8586210902670962,0.7228193066055985,5.985052945306091,4.671176844217029,nan,nan,nan,5.897106987697715,nan
GSE272133_muscle_bariatric,OB_Participant_5_w52,0.7865985735951944,0.5012589583724849,0.7761697258875387,0.27491076751505383,6.454008630531401,5.581686773783626,nan,nan,nan,3.5012752459985834,nan
GSE272133_muscle_bariatric,OB_Participant_6_w52,1.03842422989765,0.40533113019410655,0.34508023977529995,-0.0602508904188066,5.754887502163468,4.799340661167786,nan,nan,nan,5.760353557225673,nan
GSE272133_muscle_bariatric,OB_Participant_7_w52,1.491288640313096,0.7664472253665872,0.9126337386582734,0.1461865132916862,6.447408881653971,5.7062471302999365,nan,nan,nan,1.8812853965915748,nan
GSE272133_muscle_bariatric,OB_Participant_8_w52,1.0826238090509221,0.24935804347131518,0.7170268798582234,0.46766883638690826,6.038073764011252,5.016093876911259,nan,nan,nan,3.217017230392976,nan
GSE272133_muscle_bariatric,OB_Participant_9_w52,0.926357112271325,1.1690225964930805,1.182908920623586,0.013886324130505612,7.4804534768828574,6.175017110458371,nan,nan,nan,4.673891347619457,nan
GSE272133_muscle_bariatric,OB_Participant_10_w52,0.42997361851116433,0.4356969276268439,0.048018023590878194,-0.3876789040359657,6.419995535269942,5.490704393503151,nan,nan,nan,3.528320833573719,nan
