dataset_id,contrast,domain,metric,analysis_design,analysis_n,mean_delta,delta_sd,se,effect_size,ci95_low,ci95_high
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,obesity,NAMPT_z,paired,13,-0.16725435770002317,1.0767209754238332,0.298629,-0.15533676924440548,-0.7546983280756918,0.3682068919404514
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,obesity,balance_score,paired,13,-0.021828562930487513,0.3422564543465279,0.094925,-0.06377838212624772,-0.19964721753428832,0.15532210685560335
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,obesity,inflammatory_score,paired,13,-0.0432248825332828,0.47003078637120393,0.130363,-0.09196181141025561,-0.28788073203783354,0.20737090981399642
GSE272133_muscle_bariatric,OB_w52_vs_OB_w0,obesity,repair_score,paired,13,-0.06505344546377033,0.40662140433951516,0.112776,-0.15998529533741146,-0.273407136802253,0.15420901343079124
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,obesity,NAMPT_z,paired,13,0.12393526153612552,0.5859578895232956,0.162515,0.21150881957908732,-0.17667537993721433,0.43270274255193547
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,obesity,balance_score,paired,13,0.119911828480221,0.35681333539930743,0.098962,0.33606319210583446,-0.0657586959290551,0.30390939016066726
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,obesity,inflammatory_score,paired,13,0.17572163373120622,0.23288467615822345,0.064591,0.7545435647806201,0.060058160753250024,0.29653160989164346
GSE272133_muscle_bariatric,T2D_w52_vs_T2D_w0,obesity,repair_score,paired,13,0.2956334622114273,0.41049950620677184,0.113852,0.7201798241932948,0.07095710759034615,0.49585582688820656
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,obesity_cell_model,NAMPT_z,paired_intersection,3,0.6974195676692544,0.6629193517110042,0.382737,1.052042855392899,0.04595964744024139,1.3712329173965723
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,obesity_cell_model,balance_score,paired_intersection,3,-0.021488374623770057,0.11937312984287049,0.06892,-0.1800101467730214,-0.1563913974119344,0.07047486784840681
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,obesity_cell_model,inflammatory_score,paired_intersection,3,0.07052184217477643,0.1831398294396399,0.105736,0.3850710268244481,-0.1274785406994781,0.2338421969622626
GSE282850_muscle_cell_aicar_palmitate,aicar_vs_differentiated,obesity_cell_model,repair_score,paired_intersection,3,0.04903346755100632,0.1786501709269672,0.103144,0.2744663903571151,-0.057003672851071406,0.25529360265448
GSE282850_muscle_cell_aicar_palmitate,palmitate_vs_differentiated,obesity_cell_model,NAMPT_z,paired,4,0.5426202336954415,0.3481511112864115,0.174076,1.558576767687084,0.22472902170231562,0.7837306835184648
GSE282850_muscle_cell_aicar_palmitate,palmitate_vs_differentiated,obesity_cell_model,balance_score,paired,4,0.03373127024853081,0.3023632436106494,0.151182,0.111558765694306,-0.20374692664810423,0.27453539186462467
GSE282850_muscle_cell_aicar_palmitate,palmitate_vs_differentiated,obesity_cell_model,inflammatory_score,paired,4,0.1451263027914842,0.2040116703917504,0.102006,0.7113627495564717,-0.058809089597980514,0.29991894766939603
GSE282850_muscle_cell_aicar_palmitate,palmitate_vs_differentiated,obesity_cell_model,repair_score,paired,4,0.17885757304001496,0.14251948538124487,0.07126,1.2549692595476638,0.060118214741381695,0.29759693133864823
GSE292369_exercise_ketone_recovery,exercised_vs_rest,exercise,NAMPT_z,paired_intersection,16,0.8473967938412696,1.2471575211582047,0.311789,0.6794625213455899,0.28001122105986653,1.4518442874049848
GSE292369_exercise_ketone_recovery,exercised_vs_rest,exercise,balance_score,paired_intersection,16,-0.36078993158296985,0.281035794080341,0.070259,-1.2837864043746297,-0.49738140506822615,-0.23046403108354915
GSE292369_exercise_ketone_recovery,exercised_vs_rest,exercise,inflammatory_score,paired_intersection,16,0.264782001104761,0.28848897799571166,0.072122,0.9178236303665541,0.13374805971743173,0.40349117137134033
GSE292369_exercise_ketone_recovery,exercised_vs_rest,exercise,repair_score,paired_intersection,16,-0.09600793047820884,0.14258687232508815,0.035647,-0.6733293809777764,-0.16300090304582904,-0.026576301042873663
GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,exercise,NAMPT_z,paired_intersection,4,0.3418541505328669,0.5314641385885965,0.265732,0.6432308893704949,-0.061111277187897245,0.7827306618210874
GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,exercise,balance_score,paired_intersection,4,-0.11391746285589041,0.3357056353615588,0.167853,-0.3393373564706473,-0.36098419802438986,0.1963965991267219
GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,exercise,inflammatory_score,paired_intersection,4,-0.03123481602292466,0.3300466626627806,0.165023,-0.09463757570194942,-0.2917689862432929,0.22753160644014664
GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,exercise,repair_score,paired_intersection,4,-0.14515227887881516,0.10422729683427485,0.052114,-1.3926512851006057,-0.22703426593439985,-0.06327029182323046
GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,exercise,NAMPT_z,paired_intersection,6,-0.22269179268926667,1.259112469872381,0.514031,-0.17686409913153978,-1.219502319200771,0.6535142184188285
GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,exercise,balance_score,paired_intersection,6,-0.42032144709324754,0.27818748583756664,0.11357,-1.5109286667865167,-0.6075247382478687,-0.21050785138849007
GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,exercise,inflammatory_score,paired_intersection,6,0.1461982713213831,1.3661428774322535,0.557725,0.10701535962048964,-0.8923347528960924,1.0366714236196177
