domain,metric,k,pooled,se,lo,hi,p,i2,tau2,Q,n_pos,n_neg,dir_pct,datasets
exercise,NAMPT_z,4,0.9649416429711143,0.2654358020964066,0.4446874708621573,1.4851958150800713,0.0002776456809010508,81.11192636070301,0.21958661676445324,15.883038457444624,4,0,100.0,GSE292369;GSE305038;GSE312393;GSE318937
exercise,balance_score,4,-0.4663765366517619,0.4004488351969938,-1.2512562536378697,0.31850318033434594,0.2441669647867304,99.09557774820293,0.6335665959798207,331.70347081123424,1,3,75.0,GSE292369;GSE305038;GSE312393;GSE318937
exercise,inflammatory_score,4,0.34615883849192636,0.2613856182058418,-0.1661569731915235,0.8584746501753762,0.18539598249762124,95.91813468260654,0.2511393643977203,73.49581053584828,3,1,75.0,GSE292369;GSE305038;GSE312393;GSE318937
exercise,repair_score,4,-0.47611275764440397,0.2860224353085079,-1.0367167308490794,0.0844912155602715,0.0959927167100798,98.91055793692,0.29999314122538484,275.370311250751,1,3,75.0,GSE292369;GSE305038;GSE312393;GSE318937
obesity,NAMPT_z,2,0.13779672061435297,0.12579132501176274,-0.108754276408702,0.38434771763740794,0.27332436527077064,0.0,0.0,0.022442561188163925,2,0,100.0,GSE272133;GSE32575
obesity,balance_score,2,-0.2183970922799418,0.3484325739985537,-0.9013249373171071,0.4645307527572235,0.5307911809942638,97.42947437158456,0.2365786361219276,38.90254930531222,1,1,50.0,GSE272133;GSE32575
obesity,inflammatory_score,2,0.7946390465799501,0.23602638539827211,0.33202733119933675,1.2572507619605635,0.0007606286219541403,83.9702141506519,0.09518418762985455,6.238386522429232,2,0,100.0,GSE272133;GSE32575
obesity,repair_score,2,0.4118466214320105,0.1821527176220356,0.05482729489282073,0.7688659479712003,0.02375948589090182,62.64515758229656,0.04523601717082968,2.6770290952320384,2,0,100.0,GSE272133;GSE32575
