dataset_id,module,n_genes,n_samples,cronbach_alpha
GSE305038_activity_inactivity_exercise,nad_consumption_repair,2,24,0.9738617569777002
GSE305038_activity_inactivity_exercise,sirtuin_repair,3,24,0.8592761709399918
GSE305038_activity_inactivity_exercise,ampk_mitochondria_repair,3,24,0.3031584117530194
GSE305038_activity_inactivity_exercise,mitochondrial_biogenesis,2,24,0.9182998847288617
GSE305038_activity_inactivity_exercise,oxidative_stress_repair,3,24,0.9162658241989565
GSE305038_activity_inactivity_exercise,nfkb_inflammation,3,24,0.6787237557027505
GSE305038_activity_inactivity_exercise,innate_immune_inflammation,3,24,0.6775073607947928
GSE305038_activity_inactivity_exercise,monocyte_macrophage,3,24,0.9296805928773992
GSE305038_activity_inactivity_exercise,adipose_metabolism_resolution,2,24,0.5640335102010006
GSE305038_activity_inactivity_exercise,insulin_metabolism,4,24,0.9023118527652658
GSE305038_activity_inactivity_exercise,dna_damage_repair,3,24,0.9633641938959567
GSE305038_activity_inactivity_exercise,autophagy_repair,4,24,0.9738650833732452
GSE305038_activity_inactivity_exercise,mitochondrial_stress,2,24,0.7658728897249365
GSE312393_24h_exercise,nad_salvage_core,6,6,-2.9649538337561867
GSE312393_24h_exercise,nad_de_novo,3,6,-0.06813127624876503
GSE312393_24h_exercise,nad_consumption_inflammation,2,6,0.7432175141109849
GSE312393_24h_exercise,nad_consumption_repair,2,6,0.34972826121728184
GSE312393_24h_exercise,sirtuin_repair,3,6,0.186354034509834
GSE312393_24h_exercise,ampk_mitochondria_repair,3,6,0.3110854889571379
GSE312393_24h_exercise,mitochondrial_biogenesis,2,6,0.8021332732348261
GSE312393_24h_exercise,oxidative_stress_repair,4,6,-2.0485437581600374
GSE312393_24h_exercise,nfkb_inflammation,7,6,0.07733945786817335
GSE312393_24h_exercise,innate_immune_inflammation,3,6,0.47365220448076506
GSE312393_24h_exercise,monocyte_macrophage,4,6,0.3500763786068742
GSE312393_24h_exercise,macrophage_resolution,2,6,0.48144029166682145
GSE312393_24h_exercise,adipose_metabolism_resolution,2,6,-0.4033148206071324
GSE312393_24h_exercise,insulin_metabolism,4,6,0.024928102817473707
GSE312393_24h_exercise,dna_damage_repair,3,6,0.49235791204305296
GSE312393_24h_exercise,autophagy_repair,4,6,0.21550490130432953
GSE312393_24h_exercise,mitochondrial_stress,2,6,0.6776492429996446
GSE312393_6weeks_training,nad_salvage_core,6,5,0.5114661198648064
GSE312393_6weeks_training,nad_de_novo,3,5,-2.264120185347615
GSE312393_6weeks_training,nad_consumption_inflammation,2,5,-0.01988016100264911
GSE312393_6weeks_training,nad_consumption_repair,2,5,0.09218932669131497
GSE312393_6weeks_training,sirtuin_repair,3,5,0.38065459099707005
GSE312393_6weeks_training,ampk_mitochondria_repair,3,5,0.6135284086650572
GSE312393_6weeks_training,mitochondrial_biogenesis,2,5,-2.2259286501592213
GSE312393_6weeks_training,oxidative_stress_repair,4,5,-1.0054925258599205
GSE312393_6weeks_training,nfkb_inflammation,7,5,-0.21286624555008604
GSE312393_6weeks_training,innate_immune_inflammation,3,5,0.7034753542919037
GSE312393_6weeks_training,monocyte_macrophage,4,5,0.5052754724290915
GSE312393_6weeks_training,macrophage_resolution,2,5,-2.7549442358732152
GSE312393_6weeks_training,adipose_metabolism_resolution,2,5,0.752812854455043
GSE312393_6weeks_training,insulin_metabolism,4,5,0.7271378785189262
GSE312393_6weeks_training,dna_damage_repair,3,5,0.5382659450403418
GSE312393_6weeks_training,autophagy_repair,4,5,-0.3806079899293738
GSE312393_6weeks_training,mitochondrial_stress,2,5,0.8788912241113351
GSE318937_exercise_oleuropein,nad_salvage_core,6,118,0.16247101871790312
GSE318937_exercise_oleuropein,nad_de_novo,3,118,0.10699759633831651
GSE318937_exercise_oleuropein,nad_consumption_inflammation,2,118,0.021301862160407303
GSE318937_exercise_oleuropein,nad_consumption_repair,2,118,0.751735394130715
GSE318937_exercise_oleuropein,sirtuin_repair,3,118,0.09839580292454014
GSE318937_exercise_oleuropein,ampk_mitochondria_repair,3,118,0.19732007741274776
GSE318937_exercise_oleuropein,mitochondrial_biogenesis,2,118,0.58504287432142
GSE318937_exercise_oleuropein,oxidative_stress_repair,4,118,0.5098378028735624
