dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE272133_muscle_bariatric,nfkb_inflammation,nutrient_sensing,0.3426763148250287,7
GSE272133_muscle_bariatric,nfkb_inflammation,stress_repair,0.28994043786503815,7
GSE272133_muscle_bariatric,innate_immune_inflammation,nad_salvage_core,0.39384243494922067,18
GSE272133_muscle_bariatric,innate_immune_inflammation,nad_de_novo,0.33676148447738513,9
GSE272133_muscle_bariatric,innate_immune_inflammation,nad_consumption_inflammation,0.23189368244325456,6
GSE272133_muscle_bariatric,innate_immune_inflammation,nad_consumption_repair,0.42502788118588697,6
GSE272133_muscle_bariatric,innate_immune_inflammation,sirtuin_repair,0.4202997304091999,9
GSE272133_muscle_bariatric,innate_immune_inflammation,mitochondrial_biogenesis,0.4529796071643415,6
GSE272133_muscle_bariatric,innate_immune_inflammation,oxidative_stress_repair,0.40002101040251525,12
GSE272133_muscle_bariatric,innate_immune_inflammation,nfkb_inflammation,0.3179418938674135,21
GSE272133_muscle_bariatric,innate_immune_inflammation,innate_immune_inflammation,0.29548344651943226,3
GSE272133_muscle_bariatric,innate_immune_inflammation,monocyte_macrophage,0.4232898299165111,12
GSE272133_muscle_bariatric,innate_immune_inflammation,macrophage_resolution,0.3375692218624304,6
GSE272133_muscle_bariatric,innate_immune_inflammation,insulin_metabolism,0.2695536722534462,12
GSE272133_muscle_bariatric,innate_immune_inflammation,nutrient_sensing,0.4295319670983277,3
GSE272133_muscle_bariatric,innate_immune_inflammation,stress_repair,0.3077994526638657,3
GSE272133_muscle_bariatric,innate_immune_inflammation,mitochondrial_stress,0.1819258791309998,6
GSE272133_muscle_bariatric,monocyte_macrophage,nad_salvage_core,0.4169413094204378,24
GSE272133_muscle_bariatric,monocyte_macrophage,nad_de_novo,0.3500250094713002,12
GSE272133_muscle_bariatric,monocyte_macrophage,nad_consumption_inflammation,0.2589836252187684,8
GSE272133_muscle_bariatric,monocyte_macrophage,nad_consumption_repair,0.39882925390245294,8
GSE272133_muscle_bariatric,monocyte_macrophage,sirtuin_repair,0.4283390836557395,12
GSE272133_muscle_bariatric,monocyte_macrophage,oxidative_stress_repair,0.380769667780383,16
GSE272133_muscle_bariatric,monocyte_macrophage,nfkb_inflammation,0.33807097175909745,28
GSE272133_muscle_bariatric,monocyte_macrophage,monocyte_macrophage,0.4949209770556558,6
GSE272133_muscle_bariatric,monocyte_macrophage,nutrient_sensing,0.3730374628463233,4
GSE272133_muscle_bariatric,monocyte_macrophage,stress_repair,0.3059104829651719,4
GSE272133_muscle_bariatric,macrophage_resolution,nad_salvage_core,0.2756072847509264,12
GSE272133_muscle_bariatric,macrophage_resolution,nad_de_novo,0.2692925478823754,6
GSE272133_muscle_bariatric,macrophage_resolution,nad_consumption_inflammation,0.1860860166107261,4
GSE272133_muscle_bariatric,macrophage_resolution,nad_consumption_repair,0.29100906058576015,4
GSE272133_muscle_bariatric,macrophage_resolution,sirtuin_repair,0.28337638836959606,6
GSE272133_muscle_bariatric,macrophage_resolution,mitochondrial_biogenesis,0.3142396729280979,4
GSE272133_muscle_bariatric,macrophage_resolution,oxidative_stress_repair,0.25894460935908525,8
GSE272133_muscle_bariatric,macrophage_resolution,nfkb_inflammation,0.22599370377140124,14
GSE272133_muscle_bariatric,macrophage_resolution,monocyte_macrophage,0.38735124781126373,8
GSE272133_muscle_bariatric,macrophage_resolution,macrophage_resolution,0.1294635474420707,1
GSE272133_muscle_bariatric,macrophage_resolution,nutrient_sensing,0.2528755634474008,2
GSE272133_muscle_bariatric,macrophage_resolution,stress_repair,0.2598282292921111,2
GSE272133_muscle_bariatric,macrophage_resolution,mitochondrial_stress,0.141074773113887,4
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nad_salvage_core,0.4106282441227182,12
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nad_de_novo,0.31630809190085446,6
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nad_consumption_inflammation,0.23315056368409762,4
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nad_consumption_repair,0.4721838090179832,4
GSE272133_muscle_bariatric,adipose_metabolism_resolution,sirtuin_repair,0.42878258186393414,6
GSE272133_muscle_bariatric,adipose_metabolism_resolution,ampk_mitochondria_repair,0.4205825608091109,6
GSE272133_muscle_bariatric,adipose_metabolism_resolution,mitochondrial_biogenesis,0.4826609562693882,4
GSE272133_muscle_bariatric,adipose_metabolism_resolution,oxidative_stress_repair,0.44679197722674463,8
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nfkb_inflammation,0.28503198952040865,14
GSE272133_muscle_bariatric,adipose_metabolism_resolution,innate_immune_inflammation,0.33873609424421597,6
GSE272133_muscle_bariatric,adipose_metabolism_resolution,monocyte_macrophage,0.3739289010824831,8
GSE272133_muscle_bariatric,adipose_metabolism_resolution,macrophage_resolution,0.3068032307425742,4
GSE272133_muscle_bariatric,adipose_metabolism_resolution,adipose_metabolism_resolution,0.3400178842399607,1
GSE272133_muscle_bariatric,adipose_metabolism_resolution,insulin_metabolism,0.35169954355657607,8
GSE272133_muscle_bariatric,adipose_metabolism_resolution,nutrient_sensing,0.41585012171111846,2
GSE272133_muscle_bariatric,adipose_metabolism_resolution,stress_repair,0.490689098384034,2
GSE272133_muscle_bariatric,adipose_metabolism_resolution,dna_damage_repair,0.45459437676337894,6
GSE272133_muscle_bariatric,adipose_metabolism_resolution,autophagy_repair,0.2596002510219102,8
GSE272133_muscle_bariatric,adipose_metabolism_resolution,mitochondrial_stress,0.18063533895832118,4
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nad_salvage_core,0.20897715237594064,6
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nad_de_novo,0.22205459550594311,3
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nad_consumption_inflammation,0.141859365636268,2
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,nad_consumption_repair,0.25732985131652775,2
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,sirtuin_repair,0.20582259992441576,3
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,ampk_mitochondria_repair,0.1969460138957201,3
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,mitochondrial_biogenesis,0.292971741647233,2
GSE272133_muscle_bariatric,adipose_metabolism_inflammation,oxidative_stress_repair,0.2812558226752195,4
