dataset_id,input_genes,samples,axis_genes_detected,axis_gene_total,axis_gene_coverage_pct,has_NAMPT,inflammatory_genes_used,repair_genes_used,both_genes_used_excluding_NAMPT,transform,detected_genes
GSE312393_24h_exercise,42005,7,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE312393_6weeks_training,61248,6,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE305038_activity_inactivity_exercise,14799,25,50,59,84.7,True,17,37,5,log2_x_plus_1,ADIPOQ;AKT2;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;FOXO3;GPX1;IDO1;INSR;IRS1;ITGAM;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SQSTM1;TFAM;TLR4;UCP2;UCP3;XRCC1
GSE292369_exercise_ketone_recovery,60583,34,59,59,100.0,True,24,39,5,none_already_log_like,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE318937_exercise_oleuropein,42010,119,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE32575_monocytes_obesity_surgery,19569,48,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE272133_muscle_bariatric,60591,52,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE294150_visceral_adipose,46425,40,59,59,100.0,True,24,39,5,log2_x_plus_1,ADGRE1;ADIPOQ;AKT2;ARG1;ATG5;ATM;BECN1;BST1;CASP1;CAT;CCL2;CD14;CD38;CD68;CXCL8;FOXO3;GPX1;IDO1;IL1B;IL6;INSR;IRS1;ITGAM;KYNU;LEP;MAP1LC3B;MRC1;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NMNAT3;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SOD2;SQSTM1;TFAM;TLR4;TNF;UCP2;UCP3;XRCC1
GSE282850_muscle_cell_aicar_palmitate,15028,15,47,59,79.7,True,17,34,5,none_already_log_like,AKT2;ATG5;ATM;BECN1;BST1;CASP1;CAT;CD14;CXCL8;FOXO3;GPX1;IDO1;IL6;INSR;IRS1;ITGAM;KYNU;MAP1LC3B;MTOR;NADSYN1;NAMPT;NAPRT;NFE2L2;NFKB1;NLRP3;NMNAT1;NMNAT2;NRF1;OGG1;PARP1;PARP2;PPARG;PPARGC1A;PRKAA1;PRKAA2;QPRT;RELA;SIRT1;SIRT3;SIRT6;SLC2A4;SQSTM1;TFAM;TLR4;UCP2;UCP3;XRCC1
