sensitivity_variant,dataset_id,axis_genes_detected,inflammatory_genes_used,repair_genes_used,excluded_genes,excluded_modules
drop_monocyte_macrophage,GSE312393_24h_exercise,59,20,39,,monocyte_macrophage
drop_monocyte_macrophage,GSE312393_6weeks_training,59,20,39,,monocyte_macrophage
drop_monocyte_macrophage,GSE318937_exercise_oleuropein,59,20,39,,monocyte_macrophage
drop_monocyte_macrophage,GSE32575_monocytes_obesity_surgery,59,20,39,,monocyte_macrophage
drop_nad_consumption,GSE272133_muscle_bariatric,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE282850_muscle_cell_aicar_palmitate,47,14,32,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE292369_exercise_ketone_recovery,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE294150_visceral_adipose,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE305038_activity_inactivity_exercise,50,13,35,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE312393_24h_exercise,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE312393_6weeks_training,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE318937_exercise_oleuropein,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_consumption,GSE32575_monocytes_obesity_surgery,59,20,37,,nad_consumption_inflammation;nad_consumption_repair
drop_nad_salvage_core,GSE272133_muscle_bariatric,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE282850_muscle_cell_aicar_palmitate,47,17,30,,nad_salvage_core
drop_nad_salvage_core,GSE292369_exercise_ketone_recovery,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE294150_visceral_adipose,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE305038_activity_inactivity_exercise,50,17,32,,nad_salvage_core
drop_nad_salvage_core,GSE312393_24h_exercise,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE312393_6weeks_training,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE318937_exercise_oleuropein,59,24,34,,nad_salvage_core
drop_nad_salvage_core,GSE32575_monocytes_obesity_surgery,59,24,34,,nad_salvage_core
drop_nampt,GSE272133_muscle_bariatric,59,24,39,NAMPT,
drop_nampt,GSE282850_muscle_cell_aicar_palmitate,47,17,34,NAMPT,
drop_nampt,GSE292369_exercise_ketone_recovery,59,24,39,NAMPT,
drop_nampt,GSE294150_visceral_adipose,59,24,39,NAMPT,
drop_nampt,GSE305038_activity_inactivity_exercise,50,17,37,NAMPT,
drop_nampt,GSE312393_24h_exercise,59,24,39,NAMPT,
drop_nampt,GSE312393_6weeks_training,59,24,39,NAMPT,
drop_nampt,GSE318937_exercise_oleuropein,59,24,39,NAMPT,
drop_nampt,GSE32575_monocytes_obesity_surgery,59,24,39,NAMPT,
drop_nfkb_module,GSE272133_muscle_bariatric,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE282850_muscle_cell_aicar_palmitate,47,13,34,,nfkb_inflammation
drop_nfkb_module,GSE292369_exercise_ketone_recovery,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE294150_visceral_adipose,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE305038_activity_inactivity_exercise,50,14,37,,nfkb_inflammation
drop_nfkb_module,GSE312393_24h_exercise,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE312393_6weeks_training,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE318937_exercise_oleuropein,59,17,39,,nfkb_inflammation
drop_nfkb_module,GSE32575_monocytes_obesity_surgery,59,17,39,,nfkb_inflammation
primary,GSE272133_muscle_bariatric,59,24,39,,
primary,GSE282850_muscle_cell_aicar_palmitate,47,17,34,,
primary,GSE292369_exercise_ketone_recovery,59,24,39,,
primary,GSE294150_visceral_adipose,59,24,39,,
primary,GSE305038_activity_inactivity_exercise,50,17,37,,
primary,GSE312393_24h_exercise,59,24,39,,
primary,GSE312393_6weeks_training,59,24,39,,
primary,GSE318937_exercise_oleuropein,59,24,39,,
primary,GSE32575_monocytes_obesity_surgery,59,24,39,,
