sensitivity_variant,sensitivity_variant_type,sensitivity_description,excluded_genes,excluded_modules,dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags,mean_delta_primary,ci95_low_primary,ci95_high_primary,p_value_primary,q_value_metric_primary,evidence_flags_primary,delta_difference_vs_primary,abs_delta_difference_vs_primary,relative_abs_delta_difference_vs_primary,direction,direction_primary,direction_same_as_primary,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,direction_flipped
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,inflammatory_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.061103371779376414,0.12498721265163226,0.0638838408722558,1.3940551740760327,-0.96860023392972,0.9851188156985348,paired_cohen_dz,0.04582590564580591,0.9375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,small_n;ci_crosses_zero,0.14619827132138305,-0.8509436103622087,1.0780625661535017,0.90625,1.0,small_n;ci_crosses_zero,-0.08231443044912724,0.08231443044912724,0.5630328574007419,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,repair_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.29067750366924616,0.01655432789738165,-0.2741231757718645,1.4910675691431217,-1.4994948344379544,0.6681958103970846,paired_cohen_dz,-0.18384356379596942,0.75,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.9895833333333334,small_n;ci_crosses_zero,-0.2741231757718645,-1.4857183216558543,0.6965973638150568,0.75,0.9895833333333334,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,balance_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.22957413188986975,-0.10843288475425061,-0.3380070166441203,0.26065374049528856,-0.5233143299998264,-0.14623108308628585,paired_cohen_dz,-1.296766415098616,0.03125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.1484375,0.1484375,small_n;ci_excludes_zero;nominal_p_lt_0.05,-0.4203214470932475,-0.6075247382478688,-0.2207054378093906,0.03125,0.09895833333333333,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.08231443044912717,0.08231443044912717,0.1958368553838412,-1.0,-1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,NAMPT_z,16,18,participant+treatment,,paired_intersection,16,16,16,16,-0.38534816790257936,0.4620486259386902,0.8473967938412696,1.2471575211582047,0.28967950818138977,1.4560379765879585,paired_cohen_dz,0.6794625213455899,0.011197760447910418,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.111328125,0.0556640625,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.8473967938412696,0.27515150208026823,1.437028812780872,0.013797240551889621,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,inflammatory_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,-0.058716419356968634,0.05050119080902232,0.10921761016599095,0.1895317154342008,0.021467436463075328,0.19509202102005263,paired_cohen_dz,0.576249784453134,0.03759248150369926,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.16806050554594965,0.357128574285143,ci_excludes_zero;nominal_p_lt_0.05,0.264782001104761,0.1388671600422903,0.4025129769667588,0.0007998400319936012,0.007598480303939212,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,-0.15556439093877006,0.15556439093877006,0.5875187523687495,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,repair_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,0.04874668784836503,-0.047261242629843804,-0.09600793047820882,0.14258687232508818,-0.15957398617345775,-0.02771530775711998,paired_cohen_dz,-0.6733293809777762,0.01779644071185763,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.1229572267364709,0.11271079117509832,ci_excludes_zero;nominal_p_lt_0.05,-0.09600793047820882,-0.16065822211706263,-0.02955446079066504,0.01839632073585283,0.11651003132706793,ci_excludes_zero;nominal_p_lt_0.05,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,balance_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,0.10746310720533366,-0.09776243343886613,-0.2052255406441998,0.1737167915032918,-0.2830187799523219,-0.1169491231708981,paired_cohen_dz,-1.1813799855974827,0.0011997600479904018,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.030393921215756847,0.011397720455908818,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,-0.3607899315829698,-0.4933106324006306,-0.23141246671333923,0.0009998000399920016,0.012369791666666666,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.15556439093877,0.15556439093877,0.4311771957056272,-1.0,-1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,NAMPT_z,9,10,participant_id,,paired_intersection,9,9,9,9,-0.43923065308801124,0.2869893284610309,0.7262199815490421,1.4332738796415052,-0.19914308564469752,1.4857634306891052,paired_cohen_dz,0.5066861204019754,0.15625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.42410714285714285,0.296875,small_n;ci_crosses_zero,0.7262199815490421,-0.18401416526626393,1.4984646002500415,0.15625,0.296875,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,inflammatory_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.04761006856895286,-0.042916822848503025,-0.0905268914174559,0.8563224399291607,-0.657194264645772,0.33975248109145895,paired_cohen_dz,-0.10571589298178936,0.87890625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,small_n;ci_crosses_zero,0.2893669759199647,-0.33210547429336307,0.7570532537738621,0.421875,0.890625,small_n;ci_crosses_zero,-0.3798938673374206,0.3798938673374206,1.3128445847341423,-1.0,1.0,0.0,False,False,False,False,False,True
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,repair_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.08237071394660612,-0.20378756473910362,-0.28615827868570975,0.4853898117372834,-0.5583818095027159,0.04145494153091351,paired_cohen_dz,-0.5895432326061936,0.125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.37680288461538464,0.3392857142857143,small_n;ci_crosses_zero,-0.28615827868570975,-0.5529496565442761,0.048239725247227,0.125,0.3392857142857143,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_post_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post,balance_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.03476064537765325,-0.16087074189060058,-0.19563138726825385,0.6268793683690224,-0.5444001049528694,0.2177266386771782,paired_cohen_dz,-0.31207182296848596,0.375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.7702702702702703,0.8636363636363636,small_n;ci_crosses_zero,-0.5755252546056745,-0.9888319473160584,-0.060698476127624315,0.05859375,0.15904017857142858,small_n;ci_excludes_zero,0.37989386733742064,0.37989386733742064,0.6600820108193303,-1.0,-1.0,1.0,True,False,False,True,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,NAMPT_z,9,10,participant_id,,paired_intersection,9,9,9,9,-0.43923065308801124,0.6708933890302309,1.110124042118242,0.9322035140741719,0.5901621158057663,1.7130970545336195,paired_cohen_dz,1.1908601773731498,0.0078125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.111328125,0.0556640625,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.110124042118242,0.5838591454168959,1.707562935472511,0.0078125,0.0655368926214757,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,inflammatory_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.04761006856895286,-0.1164830554050276,-0.16409312397398046,0.39326226519621443,-0.4045073207579155,0.0480755952042821,paired_cohen_dz,-0.41726129989132765,0.296875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.6446428571428572,0.705078125,small_n;ci_crosses_zero,-0.09988355445268787,-0.38156863274738767,0.11957603279788172,0.58984375,1.0,small_n;ci_crosses_zero,-0.06420956952129259,0.06420956952129259,0.6428442587283667,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,repair_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.08237071394660612,0.0035363669082085236,-0.07883434703839762,0.5097314085195963,-0.41198759979133787,0.23071267006675367,paired_cohen_dz,-0.15465860200248358,0.68359375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.9895833333333334,small_n;ci_crosses_zero,-0.07883434703839762,-0.4020352413028725,0.20417676108197838,0.68359375,0.9895833333333334,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_placebo_24h_vs_pre,predefined,MICE_Placebo_Pre,MICE_Placebo_Post24h,balance_score,9,10,participant_id,,paired_intersection,9,9,9,9,0.03476064537765325,0.1200194223132361,0.08525877693558287,0.4422894808984148,-0.15761252636211698,0.3639482605031446,paired_cohen_dz,0.19276691085304182,0.62109375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.95,0.9549479166666667,small_n;ci_crosses_zero,0.021049207414290252,-0.3143656119697209,0.413691723992748,0.9140625,1.0,small_n;ci_crosses_zero,0.06420956952129261,0.06420956952129261,3.050450701421703,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.5942074733483029,0.5784064701594829,1.172613943507786,0.8083684190962352,0.7313221055060305,1.6514051710577442,paired_cohen_dz,1.4505934618509482,0.00390625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.07421875,0.0556640625,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.172613943507786,0.7339802841982744,1.669353669505899,0.00390625,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,-0.08023898911618514,-0.07074390292890563,0.009495086187279561,0.6899070866594249,-0.4189137970089125,0.394886529533249,paired_cohen_dz,0.013762847738317036,0.97265625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,ci_crosses_zero,0.4724024069395784,0.07845801390367178,0.8283916200462392,0.044921875,0.21337890625,ci_excludes_zero;nominal_p_lt_0.05,-0.46290732075229885,0.46290732075229885,0.9799004280084161,1.0,1.0,1.0,True,False,False,True,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,repair_score,10,10,participant_id,,paired,10,10,10,10,0.0518449214850701,-0.5442717921750576,-0.5961167136601276,0.6630026981837914,-1.0184380989432031,-0.24227691696094034,paired_cohen_dz,-0.8991165726672167,0.015625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.11875,0.11271079117509832,ci_excludes_zero;nominal_p_lt_0.05,-0.5961167136601276,-1.0130275680697196,-0.21793055168248418,0.015625,0.11651003132706793,ci_excludes_zero;nominal_p_lt_0.05,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_post_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post,balance_score,10,10,participant_id,,paired,10,10,10,10,0.1320839106012553,-0.47352788924615197,-0.6056117998474073,0.5745664837526407,-0.9173599506485662,-0.27144486791910055,paired_cohen_dz,-1.0540325914801045,0.009765625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.111328125,0.061848958333333336,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,-1.068519120599706,-1.42328608293833,-0.7203148743313694,0.001953125,0.012369791666666666,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.4629073207522987,0.4629073207522987,0.43322324498273096,-1.0,-1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post24h,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.5942074733483029,0.7032426016501431,1.2974500749984461,1.9129296586527706,0.38389625987872733,2.5962231616401183,paired_cohen_dz,0.6782528929538415,0.0234375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.13778577617809773,0.07381380866683807,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.2974500749984461,0.3294695281778792,2.5106101313196567,0.0234375,0.0786985460050847,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post24h,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,-0.08023898911618514,-0.12842298557322723,-0.04818399645704206,0.6883869941201081,-0.468699153882498,0.29266384526906813,paired_cohen_dz,-0.06999550669697142,0.890625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,ci_crosses_zero,-0.008426228477938242,-0.40919741451137315,0.26928147236831984,0.970703125,1.0,ci_crosses_zero,-0.03975776797910381,0.03975776797910381,4.718334909051965,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post24h,repair_score,10,10,participant_id,,paired,10,10,10,10,0.0518449214850701,0.03803917964815061,-0.013805741836919494,0.5758621779234688,-0.37212793156639123,0.3004895632938136,paired_cohen_dz,-0.023974038174728422,0.9375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.9895833333333334,ci_crosses_zero,-0.013805741836919494,-0.36194540961400734,0.2669906990856433,0.9375,0.9895833333333334,ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,MICE_active_24h_vs_pre,predefined,MICE_Active_Pre,MICE_Active_Post24h,balance_score,10,10,participant_id,,paired,10,10,10,10,0.1320839106012553,0.16646216522137786,0.034378254620122575,0.38840121400574223,-0.18828220600257548,0.2547011026126941,paired_cohen_dz,0.08851222236296696,0.75390625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.9549479166666667,ci_crosses_zero,-0.005379513358981269,-0.2182246057017274,0.1802719041344087,0.96875,1.0,ci_crosses_zero,0.039757767979103846,0.039757767979103846,7.390588204921359,1.0,-1.0,0.0,False,False,False,False,False,True
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.8271673335262635,-0.4214735105013615,0.40569382302490203,0.8468574421650669,-0.02310830828047977,0.9504340042838678,paired_cohen_dz,0.47905798877755557,0.12890625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.37680288461538464,0.2721354166666667,ci_crosses_zero,0.40569382302490203,-0.005669314491434079,0.9396811601147517,0.12890625,0.2721354166666667,ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,0.03559344684494742,0.10881121115478617,0.07321776430983876,0.7800532229618808,-0.3959380161665253,0.4961270938748922,paired_cohen_dz,0.09386252393372486,0.775390625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,ci_crosses_zero,0.366433770955527,-0.07501429775166223,0.7585591788553271,0.14453125,0.46530612244897956,ci_crosses_zero,-0.29321600664568825,0.29321600664568825,0.8001882738075335,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post,repair_score,10,10,participant_id,,paired,10,10,10,10,0.06211974588657676,-0.07182039964945246,-0.13394014553602923,0.5672185865973243,-0.4564593910424407,0.17131672293493538,paired_cohen_dz,-0.23613497283211393,0.48046875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8260869565217391,0.95,ci_crosses_zero,-0.13394014553602923,-0.47541403222470013,0.19123618382703134,0.48046875,0.95,ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_post_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post,balance_score,10,10,participant_id,,paired,10,10,10,10,0.026526299041629363,-0.18063161080423865,-0.20715790984586802,0.3641441043779894,-0.3921414945803187,0.023345104913247525,paired_cohen_dz,-0.5688899184561111,0.115234375,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.37680288461538464,0.3649088541666667,ci_crosses_zero,-0.5003739164915562,-0.6722883924974246,-0.2822786063486398,0.00390625,0.0185546875,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.29321600664568814,0.29321600664568814,0.5859937878089538,-1.0,-1.0,1.0,True,False,False,True,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post24h,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.8271673335262635,0.4795706617901841,1.3067379953164475,1.3177830101037213,0.5795609741786091,2.1167452878763555,paired_cohen_dz,0.9916184874880087,0.01171875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.111328125,0.0556640625,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,1.3067379953164475,0.5366439755396943,2.0736938825665963,0.01171875,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post24h,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,0.03559344684494742,0.0399002197872944,0.0043067729423469595,0.5674095504666419,-0.34465895460925544,0.30675254186119877,paired_cohen_dz,0.0075902369616532486,0.978515625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.978515625,ci_crosses_zero,0.0679899144807948,-0.22467639408559162,0.4163444294197057,0.7109375,1.0,ci_crosses_zero,-0.06368314153844784,0.06368314153844784,0.9366557087880512,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post24h,repair_score,10,10,participant_id,,paired,10,10,10,10,0.06211974588657676,0.07137304103260954,0.009253295146032759,0.291827823138093,-0.17348326845300083,0.1693863171202004,paired_cohen_dz,0.031708063496242084,0.921875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.9895833333333334,ci_crosses_zero,0.009253295146032759,-0.1737541488072946,0.19032876426573547,0.921875,0.9895833333333334,ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_placebo_24h_vs_pre,predefined,SIE_Placebo_Pre,SIE_Placebo_Post24h,balance_score,10,10,participant_id,,paired,10,10,10,10,0.026526299041629363,0.03147282124531513,0.004946522203685783,0.3631633715162482,-0.22313243971508515,0.2009521253001122,paired_cohen_dz,0.013620652829148193,0.98046875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9935416666666667,0.98046875,ci_crosses_zero,-0.05873661933476202,-0.26007547068497944,0.13233357617101973,0.66796875,1.0,ci_crosses_zero,0.0636831415384478,0.0636831415384478,1.084215303156855,1.0,-1.0,0.0,False,False,False,False,False,True
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,predefined,SIE_Active_Pre,SIE_Active_Post,NAMPT_z,10,10,participant_id,,paired,10,10,10,10,-0.5780273836641305,-0.26206928878879465,0.3159580948753358,0.8114498574564266,-0.14920288478265448,0.7900182116063768,paired_cohen_dz,0.3893747616959834,0.28515625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.6374080882352942,0.4167668269230769,ci_crosses_zero,0.3159580948753358,-0.12297868774506977,0.798924787956167,0.28515625,0.4167668269230769,ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
drop_classic_cytokines,gene_drop,Drop classic cytokine/chemokine inflammatory genes.,CCL2;CXCL8;IL1B;IL6;TNF,,GSE318937_exercise_oleuropein,SIE_active_post_vs_pre,predefined,SIE_Active_Pre,SIE_Active_Post,inflammatory_score,10,10,participant_id,,paired,10,10,10,10,-0.08160572990161503,0.036806714283612686,0.1184124441852277,0.8475119815565071,-0.3337958082478648,0.5927291370084398,paired_cohen_dz,0.1397177228901898,0.66015625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.9837622549019608,0.978515625,ci_crosses_zero,0.3998371435162113,-0.05264293235084509,0.8818477981069807,0.15625,0.46530612244897956,ci_crosses_zero,-0.2814246993309836,0.2814246993309836,0.7038483139812979,1.0,1.0,1.0,False,False,False,False,False,False
