sensitivity_variant,sensitivity_variant_type,sensitivity_description,excluded_genes,excluded_modules,dataset_id,contrast,contrast_source,control_condition,case_condition,metric,control_n_raw,case_n_raw,pairing_keys,independent_unit_keys,analysis_design,analysis_n,paired_n,analysis_n_control,analysis_n_case,control_mean,case_mean,mean_delta,delta_sd,ci95_low,ci95_high,effect_size_name,effect_size,p_value,test_method,ci_method,q_value_global,q_value_metric,evidence_flags,mean_delta_primary,ci95_low_primary,ci95_high_primary,p_value_primary,q_value_metric_primary,evidence_flags_primary,delta_difference_vs_primary,abs_delta_difference_vs_primary,relative_abs_delta_difference_vs_primary,direction,direction_primary,direction_same_as_primary,primary_ci_supported,variant_ci_supported,ci_support_retained,ci_support_lost,ci_support_gained,direction_flipped
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,repair_score,6,6,participant_id,,paired_intersection,4,4,4,4,-0.25790935968998974,-0.40306163856880506,-0.14515227887881524,0.10422729683427502,-0.22703426593440004,-0.06327029182323049,paired_cohen_dz,-1.392651285100604,0.125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.3628472222222222,0.3392857142857143,very_small_n;ci_excludes_zero,-0.14515227887881524,-0.22703426593440004,-0.06327029182323049,0.125,0.3392857142857143,very_small_n;ci_excludes_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,active_post_vs_active_pre,predefined,active_pre,active_post,balance_score,6,6,participant_id,,paired_intersection,4,4,4,4,-0.008716927181654316,-0.1226343900375445,-0.11391746285589019,0.3357056353615582,-0.3962129508060571,0.19639659912672142,paired_cohen_dz,-0.3393373564706473,0.5,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.8444444444444444,0.95,very_small_n;ci_crosses_zero,-0.11391746285589019,-0.3962129508060571,0.19639659912672142,0.5,0.95,very_small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,NAMPT_z,6,7,participant_id,,paired_intersection,6,6,6,6,0.33962327610703397,0.11693148341776675,-0.22269179268926734,1.259112469872381,-1.184792201110678,0.6085223972281507,paired_cohen_dz,-0.1768640991315403,0.71875,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,0.7586805555555556,small_n;ci_crosses_zero,-0.22269179268926734,-1.184792201110678,0.6085223972281507,0.71875,0.7586805555555556,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,inflammatory_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.014686133704187976,0.16088440502557103,0.14619827132138305,1.366142877432254,-0.8509436103622087,1.0780625661535017,paired_cohen_dz,0.10701535962048957,0.90625,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,1.0,small_n;ci_crosses_zero,0.14619827132138305,-0.8509436103622087,1.0780625661535017,0.90625,1.0,small_n;ci_crosses_zero,0.0,0.0,0.0,1.0,1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,repair_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.29067750366924616,0.01655432789738165,-0.2741231757718645,1.4910675691431217,-1.4857183216558543,0.6965973638150568,paired_cohen_dz,-0.18384356379596942,0.75,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,1.0,0.9895833333333334,small_n;ci_crosses_zero,-0.2741231757718645,-1.4857183216558543,0.6965973638150568,0.75,0.9895833333333334,small_n;ci_crosses_zero,0.0,0.0,0.0,-1.0,-1.0,1.0,False,False,False,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE305038_activity_inactivity_exercise,inactive_post_vs_inactive_pre,predefined,inactive_pre,inactive_post,balance_score,6,7,participant_id,,paired_intersection,6,6,6,6,0.2759913699650582,-0.14433007712818938,-0.4203214470932475,0.2781874858375667,-0.6075247382478688,-0.2207054378093906,paired_cohen_dz,-1.510928666786516,0.03125,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.11875,0.09895833333333333,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,-0.4203214470932475,-0.6075247382478688,-0.2207054378093906,0.03125,0.09895833333333333,small_n;ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,NAMPT_z,16,18,participant+treatment,,paired_intersection,16,16,16,16,-0.38534816790257936,0.4620486259386902,0.8473967938412696,1.2471575211582047,0.27515150208026823,1.437028812780872,paired_cohen_dz,0.6794625213455899,0.013797240551889621,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.0998657411374868,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.8473967938412696,0.27515150208026823,1.437028812780872,0.013797240551889621,0.0655368926214757,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,inflammatory_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,-0.13672966922529403,0.128052331879467,0.264782001104761,0.2884889779957117,0.1388671600422903,0.4025129769667588,paired_cohen_dz,0.9178236303665539,0.0007998400319936012,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.025328267679797373,0.007598480303939212,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.264782001104761,0.1388671600422903,0.4025129769667588,0.0007998400319936012,0.007598480303939212,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,1.0,1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,repair_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,0.04874668784836503,-0.047261242629843804,-0.09600793047820882,0.14258687232508818,-0.16065822211706263,-0.02955446079066504,paired_cohen_dz,-0.6733293809777762,0.01839632073585283,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.0998657411374868,0.11651003132706793,ci_excludes_zero;nominal_p_lt_0.05,-0.09600793047820882,-0.16065822211706263,-0.02955446079066504,0.01839632073585283,0.11651003132706793,ci_excludes_zero;nominal_p_lt_0.05,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
primary,baseline,Primary score reconstructed from saved axis expression matrices.,,,GSE292369_exercise_ketone_recovery,exercised_vs_rest,predefined,rest,exercised,balance_score,16,18,participant+treatment,,paired_intersection,16,16,16,16,0.18547635707365906,-0.1753135745093108,-0.3607899315829698,0.281035794080341,-0.4933106324006306,-0.23141246671333923,paired_cohen_dz,-1.2837864043746294,0.0009998000399920016,paired_sign_flip_permutation,paired_percentile_bootstrap_1000,0.025328267679797373,0.012369791666666666,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,-0.3607899315829698,-0.4933106324006306,-0.23141246671333923,0.0009998000399920016,0.012369791666666666,ci_excludes_zero;nominal_p_lt_0.05;metric_fdr_lt_0.10,0.0,0.0,0.0,-1.0,-1.0,1.0,True,True,True,False,False,False
